block 0000 | PDF 2 | trang 2 | BỘ CÔNG THƯƠNG
block 0001 | PDF 2 | trang 2 | ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI
block 0002 | PDF 2 | trang 2 | ---------------------------------------
block 0005 | PDF 2 | trang 2 | ĐỒ ÁN TỐT NGHIỆP ĐẠI HỌC
block 0006 | PDF 2 | trang 2 | NGÀNH CÔNG NGHỆ THÔNG TIN
block 0009 | PDF 2 | trang 2 | ỨNG DỤNG THỊ GIÁC MÁY TÍNH TRONG PHÁT HIỆN NGƯỜI ĐIỀU KHIỂN XE MÁY KHÔNG ĐỘI MŨ BẢO HIỂM
block 0016 | PDF 2 | trang 2 | CBHD: ThS Vũ Thị Dương
block 0017 | PDF 2 | trang 2 | Sinh viên: Lê Đức Thuận
block 0018 | PDF 2 | trang 2 | Mã số sinh viên: 2022606983
block 0027 | PDF 2 | trang 2 | Hà Nội – 2026
block 0028 | PDF 2 | trang 2 | BỘ CÔNG THƯƠNG
block 0029 | PDF 2 | trang 2 | ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI
block 0030 | PDF 2 | trang 2 | ---------------------------------------
block 0033 | PDF 2 | trang 2 | ĐỒ ÁN TỐT NGHIỆP ĐẠI HỌC
block 0034 | PDF 2 | trang 2 | NGÀNH CÔNG NGHỆ THÔNG TIN
block 0037 | PDF 2 | trang 2 | ỨNG DỤNG THỊ GIÁC MÁY TÍNH TRONG PHÁT HIỆN NGƯỜI ĐIỀU KHIỂN XE MÁY KHÔNG ĐỘI MŨ BẢO HIỂM
block 0044 | PDF 2 | trang 2 | CBHD: ThS Vũ Thị Dương
block 0045 | PDF 2 | trang 2 | Sinh viên: Lê Đức Thuận
block 0046 | PDF 2 | trang 2 | Mã số sinh viên: 2022606983
block 0055 | PDF 2 | trang 2 | Hà Nội – 2026
block 0056 | PDF 3 | trang 3 | LỜI CẢM ƠN
block 0057 | PDF 3 | trang 3 | Để hoàn thành đồ án tốt nghiệp với đề tài “Ứng dụng thị giác máy tính trong phát hiện người điều khiển xe máy không đội mũ bảo hiểm”, em xin bày tỏ lòng biết ơn chân thành đến các cá nhân và tập thể đã quan tâm, giúp đỡ và tạo điều kiện cho em trong suốt quá trình học tập cũng như thực hiện đề tài.
block 0058 | PDF 3 | trang 3 | Trước hết, em xin gửi lời cảm ơn chân thành đến Đại học Công nghiệp Hà Nội đã tạo điều kiện cho em được học tập trong một môi trường chuyên nghiệp, cung cấp những kiến thức nền tảng và kỹ năng cần thiết trong suốt thời gian học tại trường. Những kiến thức đã được tiếp thu là cơ sở quan trọng giúp em nghiên cứu và xây dựng hệ thống trong đồ án này.
